7
8
1 太阳能电池板 1 70 10 0 0 0 0 0 20 0 0 5
2 纳米材料厂 2 170 0 55 0 -10 -10 -10 -20 0 -50 6
3 矿厂 3 120 0 25 0 -10 -10 -10 -10 0 -50 4
4 住宅区 4 170 0 25 0 -10 -10 -10 -10 0 -50 3
5 水培农场 5 170 0 25 0 -10 -10 -10 -10 0 -50 3
6 水厂 6 170 0 25 0 -10 -10 -10 -10 0 -50 3
#7 火箭发射台 7 170 0 25 0 -10 -10 -10 -10 0 -50 12
8 食物合成堆 8 170 0 25 0 -10 -10 -10 -10 0 -50 12
#9 稀有材料厂 9 170 0 0 5 -10 -10 -10 -10 0 -50 12

id 名字 path nano rarematerial nano rarematerial oxygen water food energy fuel mineral bui_time
